title	major_group	minor_group	broad_group	detailed_occupation
Architects, Except Landscape and Naval (17-1011.00)	Architecture and Engineering Occupations (17-0000)	Architects, Surveyors, and Cartographers (17-1000)	Architects, Except Naval (17-1010)	Architects, Except Landscape and Naval (17-1011)
Landscape Architects (17-1012.00)	Architecture and Engineering Occupations (17-0000)	Architects, Surveyors, and Cartographers (17-1000)	Architects, Except Naval (17-1010)	Landscape Architects (17-1012)
Cartographers and Photogrammetrists (17-1021.00)	Architecture and Engineering Occupations (17-0000)	Architects, Surveyors, and Cartographers (17-1000)	Surveyors, Cartographers, and Photogrammetrists (17-1020)	Cartographers and Photogrammetrists (17-1021)
Surveyors (17-1022.00)	Architecture and Engineering Occupations (17-0000)	Architects, Surveyors, and Cartographers (17-1000)	Surveyors, Cartographers, and Photogrammetrists (17-1020)	Surveyors (17-1022)
Geodetic Surveyors (17-1022.01)	Architecture and Engineering Occupations (17-0000)	Architects, Surveyors, and Cartographers (17-1000)	Surveyors, Cartographers, and Photogrammetrists (17-1020)	Surveyors (17-1022)
Aerospace Engineers (17-2011.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Aerospace Engineers (17-2010)	Aerospace Engineers (17-2011)
Agricultural Engineers (17-2021.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Agricultural Engineers (17-2020)	Agricultural Engineers (17-2021)
Biomedical Engineers (17-2031.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Biomedical Engineers (17-2030)	Biomedical Engineers (17-2031)
Chemical Engineers (17-2041.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Chemical Engineers (17-2040)	Chemical Engineers (17-2041)
Civil Engineers (17-2051.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Civil Engineers (17-2050)	Civil Engineers (17-2051)
Transportation Engineers (17-2051.01)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Civil Engineers (17-2050)	Civil Engineers (17-2051)
Computer Hardware Engineers (17-2061.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Computer Hardware Engineers (17-2060)	Computer Hardware Engineers (17-2061)
Electrical Engineers (17-2071.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Electrical and Electronics Engineers (17-2070)	Electrical Engineers (17-2071)
Electronics Engineers, Except Computer (17-2072.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Electrical and Electronics Engineers (17-2070)	Electronics Engineers, Except Computer (17-2072)
Radio Frequency Identification Device Specialists (17-2072.01)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Electrical and Electronics Engineers (17-2070)	Electronics Engineers, Except Computer (17-2072)
Environmental Engineers (17-2081.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Environmental Engineers (17-2080)	Environmental Engineers (17-2081)
Water/Wastewater Engineers (17-2081.01)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Environmental Engineers (17-2080)	Environmental Engineers (17-2081)
Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Industrial Engineers, Including Health and Safety (17-2110)	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)
Industrial Safety and Health Engineers (17-2111.01)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Industrial Engineers, Including Health and Safety (17-2110)	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)
Fire-Prevention and Protection Engineers (17-2111.02)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Industrial Engineers, Including Health and Safety (17-2110)	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)
Product Safety Engineers (17-2111.03)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Industrial Engineers, Including Health and Safety (17-2110)	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)
Industrial Engineers (17-2112.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Industrial Engineers, Including Health and Safety (17-2110)	Industrial Engineers (17-2112)
Human Factors Engineers and Ergonomists (17-2112.01)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Industrial Engineers, Including Health and Safety (17-2110)	Industrial Engineers (17-2112)
Marine Engineers and Naval Architects (17-2121.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Marine Engineers and Naval Architects (17-2120)	Marine Engineers and Naval Architects (17-2121)
Marine Engineers (17-2121.01)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Marine Engineers and Naval Architects (17-2120)	Marine Engineers and Naval Architects (17-2121)
Marine Architects (17-2121.02)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Marine Engineers and Naval Architects (17-2120)	Marine Engineers and Naval Architects (17-2121)
Materials Engineers (17-2131.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Materials Engineers (17-2130)	Materials Engineers (17-2131)
Mechanical Engineers (17-2141.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Mechanical Engineers (17-2140)	Mechanical Engineers (17-2141)
Fuel Cell Engineers (17-2141.01)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Mechanical Engineers (17-2140)	Mechanical Engineers (17-2141)
Automotive Engineers (17-2141.02)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Mechanical Engineers (17-2140)	Mechanical Engineers (17-2141)
Mining and Geological Engineers, Including Mining Safety Engineers (17-2151.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Mining and Geological Engineers, Including Mining Safety Engineers (17-2150)	Mining and Geological Engineers, Including Mining Safety Engineers (17-2151)
Nuclear Engineers (17-2161.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Nuclear Engineers (17-2160)	Nuclear Engineers (17-2161)
Petroleum Engineers (17-2171.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Petroleum Engineers (17-2170)	Petroleum Engineers (17-2171)
Engineers, All Other (17-2199.00)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Biochemical Engineers (17-2199.01)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Validation Engineers (17-2199.02)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Energy Engineers (17-2199.03)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Manufacturing Engineers (17-2199.04)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Mechatronics Engineers (17-2199.05)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Microsystems Engineers (17-2199.06)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Photonics Engineers (17-2199.07)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Robotics Engineers (17-2199.08)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Nanosystems Engineers (17-2199.09)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Wind Energy Engineers (17-2199.10)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Solar Energy Systems Engineers (17-2199.11)	Architecture and Engineering Occupations (17-0000)	Engineers (17-2000)	Miscellaneous Engineers (17-2190)	Engineers, All Other (17-2199)
Architectural and Civil Drafters (17-3011.00)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Drafters (17-3010)	Architectural and Civil Drafters (17-3011)
Architectural Drafters (17-3011.01)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Drafters (17-3010)	Architectural and Civil Drafters (17-3011)
Civil Drafters (17-3011.02)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Drafters (17-3010)	Architectural and Civil Drafters (17-3011)
Electrical and Electronics Drafters (17-3012.00)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Drafters (17-3010)	Electrical and Electronics Drafters (17-3012)
Electronic Drafters (17-3012.01)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Drafters (17-3010)	Electrical and Electronics Drafters (17-3012)
Electrical Drafters (17-3012.02)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Drafters (17-3010)	Electrical and Electronics Drafters (17-3012)
Mechanical Drafters (17-3013.00)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Drafters (17-3010)	Mechanical Drafters (17-3013)
Drafters, All Other (17-3019.00)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Drafters (17-3010)	Drafters, All Other (17-3019)
Aerospace Engineering and Operations Technicians (17-3021.00)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Engineering Technicians, Except Drafters (17-3020)	Aerospace Engineering and Operations Technicians (17-3021)
Civil Engineering Technicians (17-3022.00)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Engineering Technicians, Except Drafters (17-3020)	Civil Engineering Technicians (17-3022)
Electrical and Electronic Engineering Technicians (17-3023.00)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Engineering Technicians, Except Drafters (17-3020)	Electrical and Electronics Engineering Technicians (17-3023)
Electronics Engineering Technicians (17-3023.01)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Engineering Technicians, Except Drafters (17-3020)	Electrical and Electronics Engineering Technicians (17-3023)
Electrical Engineering Technicians (17-3023.03)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Engineering Technicians, Except Drafters (17-3020)	Electrical and Electronics Engineering Technicians (17-3023)
Electro-Mechanical Technicians (17-3024.00)	Architecture and Engineering Occupations (17-0000)	Drafters, Engineering Technicians, and Mapping Technicians (17-3000)	Engineering Technicians, Except Drafters (17-3020)	Electro-Mechanical Technicians (17-3024)
